"","Constituency_No","NewCand","Party","pid.x","Votes.x","OldCand","Last_party","pid.y","Votes.y"
"18",18,"MAHADEVAPPA SHIVALINGAPPA YADAWAD","BJP","AEKE800",68349,"ASHOK MAHADEVAPPA PATTAN","INC","AEKR11676",42310
"19",19,"GOVIND MAKTHAPPA KARAJOL","BJP","AEKE810",76431,"GOVIND.M.KARJOL","BJP","AEKR8723",64727
"20",20,"SIDDU SAVADI","BJP","AEKE816",87213,"Ramya","INC","AEKRBP544",484085
"21",20,"SIDDU SAVADI","BJP","AEKE816",87213,"UMASHREE","INC","AEKR12121",70189
"22",21,"SIDDU BHIMAPPA NYAMGOUD","INC","GEKE17910",49245,"SIDDU B. NYAMAGOUDA","INC","GEKR65814",49145
"23",22,"MURUGESH RUDRAPPA NIRANI","BJP","AEKE833",85135,"J . T. PATIL","INC","GEKR4558",66655
"24",23,"SIDDARAMAIAH","INC","AEKE3440",67599,"CHIMMANAKATTI BALAPPA BHIMAPPA","INC","AEKR1110",57446
"25",23,"SIDDARAMAIAH","INC","AEKE3440",67599,"D.K. Suresh","INC","AEKRBP557",578608
"26",24,"VEERABHADRAYYA (VEERANNA) CHARANTIMATH","BJP","GEKE17954",85653,"METI HULLAPPA YAMANAPPA","INC","GEKR55517",68216
"27",25,"DODDANAGOUDA G PATIL","BJP","AEKE861",65012,"KASHAPPANAVAR VIJAYANAND SHIVASHANKRAPPA","INC","AEKR12159",72720
"28",26,"AMEENAPPA GOUDA S PATIL (NADAHALLI)","BJP","AEKE3725",63512,"APPAJI URF CHANNABASAVARAJ SHANKARAO NADAGOUD","INC","AEKR6320",34747
"29",27,"SOMANAGOUDA B PATIL (SASANUR)","BJP","AEKE883",38802,"AMINAPPAGOUDA SANGANAGOUDA PATIL","INC","AEKR14430",36231
"30",28,"SHIVANAND PATIL","INC","AEKE895",58647,"SHIVANAND S PATIL","INC","AEKR14445",56329
"31",29,"MALLANAGOUD BASANAGOUD PATIL","INC","AEKE908",98339,"M.B.PATIL","INC","AEKR12186",62061
"32",30,"BASANAGOUD .R. PATIL (YATNAL)","BJP","AEKE925",76308,"MAKBUL S BAGAWAN","INC","AEKR14472",48615
"33",31,"DEVANAND FULASING CHAVAN","JD(S)","AEKE941",59709,"RAJU ALAGUR","INC","AEKR14502",45570
"34",32,"YASHVANTHARAYGOUDA VITTALAGOUDA PATIL","INC","AEKE956",50401,"YASHAVANTARAYAGOUDA VITTALAGOUDA PATIL","INC","AEKR12224",58562
"35",33,"MANAGULI MALLAPPA CHANNAVEERAPPA","JD(S)","AEKE18034",70865,"BHUSANUR RAMESH BALAPPA","BJP","AEKR12235",37834
